BANK,IFSC,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065001,RTGS-HO,"ABHYUDAYA BANK BLDG., B.NO.71, NEHRU NAGAR, KURLA (E), MUMBAI-400024",25260173,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065002,ABHYUDAYA NAGAR,"ABHYUDAYA EDUCATION SOCIETY, OPP. BLDG. NO. 18, ABHYUDAYA NAGAR, KALACHOWKY, MUMBAI - 400033",24702643,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065003,BAIL BAZAR,"KMSPM'S SCHOOL, WADIA ESTATE, BAIL BAZAR-KURLA(W), MUMBAI-400070",25032202,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065004,BHANDUP,"CHETNA APARTMENTS, J.M.ROAD, BHANDUP, MUMBAI-400078",25963157,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065005,DARUKHANA,"POTIA IND.ESTATE, REAY ROAD (E), DARUKHANA, MUMBAI-400010",23778164,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065006,FORT,"ABHYUDAYA BANK BLDG., 251, PERIN NARIMAN STREET, FORT, MUMBAI-400001",22614468,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065007,GHATKOPAR,"UNIT NO 2 & 3, SILVER HARMONY BLDG,NEW MANIKLAL ESTATE, GHATKOPAR (WEST), MUMBAI-400086",25116673,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065008,KANJUR,"BHANDARI CO-OP. HSG. SOCIETY, KANJUR VILLAGE, KANJUR (EAST), MUMBAI-400078",25783519,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065009,NEHRU NAGAR,"ABHYUDAYA BANK BLDG., B.NO.71, NEHRU NAGAR, KURLA (E), MUMBAI-400024",25222386,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065010,PAREL,"SHRAMA SAFALYA, 63 G.D.AMBEKAR MARG, PAREL VILLAGE, MUMBAI-400012",24137707,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065011,SEWRI,"NAVNIDHI INDUSTRIAL ESTATE, ACHARYA DONDHE MARG, SEWRI, MUMBAI-400015",24136008,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065012,WADALA,"B.P.T.MARKET BLDG., NADKARNI PARK, WADALA (EAST), MUMBAI-400037",24184512,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065013,WORLI,"LANDMARK,NEXT TO MAHINDRA TOWERS, PLOT NO.1, J M BHOSLE MARG, WORLI, MUMBAI-400018",24921104,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065014,MUMBRA,"RIZVI APARTMENTS, OPP. RAILWAY STATION, MUMBRA-400612",25462172,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065015,TURBHE,"A.P.M.C.MARKET, ADMINISTRATIVE BLDG, TURBHE, NAVI MUMBAI-400705",27888044,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065016,VASHI,"ABHYUDAYA BANK BLDG., SECTOR 17, VASHI, NAVI MUMBAI-400705",27892458,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065017,MOBILE BANK,"ABHYUDAYA BANK BLDG., SECTOR 17, VASHI, NAVI MUMBAI-400703",27892444,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065018,NEW PANVEL,"ABHYUDAYA BANK BLDG., SECTOR 17, NEW PANVEL-410206",27453585,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065019,KALAMBOLI,"BLDG F-4, SHOP NO 17-20, SECTOR 3 EB, KALAMBOLI, NAVI MUMBAI-410218",27420148,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065020,DHARAVI,"WESTERN INDIA TANNERIES, SION DHARAVI ROAD, MUMBAI-400017",24077126,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065021,MALAD EAST,"148 ELLORA SHOPPING CENTRE, DAFTARY ROAD, MALAD (EAST), MUMBAI-400097",28800272,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065022,CBD BELAPUR,"SECTOR-3, CHANAKYA SHOPPING CENTRE, BELAPUR (CBD), NAVI MUMBAI-400614",27572179,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065023,BHIWANDI,"BLDG F-1,GOPAL NAGAR,BHIWANDI-KALYAN ROAD, BHIWANDI, 421302",251852,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065024,BORIVALI,"RATNADEEP APARTMENTS, CARTER ROAD NO.1, BORIVLI (EAST), MUMBAI-400066",28636529,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065025,HILL ROAD,"HILL-N-DALE, HILL ROAD, NR.BANDRA POLICE STATION, BANDRA (W), MUMBAI-400050",26402597,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065026,KHER NAGAR,"JANATA EDUCATION SOC. PREMISES, KHER NAGAR, BANDRA (E), MUMBAI-400051",26473470,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065027,KANDIVLI-EAST,"GUNDECHA INDL.COMPLEX, AKURLI RD, KANDIVLI (E), MUMBAI-400101",28851962,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065028,SHERLY RAJAN,"KHAIR HOUSE, SHERLY RAJAN RD, BANDRA (WEST), MUMBAI-400050",26047905,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065029,GANESH NAGAR,"NAVJIVAN VIDYA MANDIR, GANESH NAGAR, BHANDUP (W), MUMBAI-400078.",25951049,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065030,MALAD WEST,"ST.JUDE'S HIGH SCHOOL, KHARODI, MALAD(W), MUMBAI,400095",28073539,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065031,NERUL,"ABHYUDAYA BANK BLDG. PLOT NO.3A, SECTOR 15, NERUL, NAVI MUMBAI-400706",27717823,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065032,AIROLI,"ABHYUDAYA BANK BLDG., PLOT NO.26 SECTOR 17, AIROLI, NAVI MUMBAI-400701",27792043,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065034,ANDHERI,"SHRADHA SHOPPING CENTRE, OLD NAGARDAS ROAD, ANDHERI (E), MUMBAI-400069",26833207,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065035,NHAVA SHEVA,"J.N.P.T. SHOPPING COMPLEX, NHAVA SHEVA, NAVI MUMBAI-400707",27471237,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065036,BANKING COMPLEX,"UNIT NO.7 SECTOR 19, PHASE II, APMC, VASHI, NAVI MUMBAI-400705",27830425,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065037,KOPARKHAIRNE,"UNIT NO.1, PLOT 24-25 SECTOR 6, KOPARKHAIRANE, NAVI MUMBAI-400701",27544040,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065038,DADAR,"GURUKRIPA CHS LTD., OPP. PLAZA CINEMA, DADAR (W), MUMBAI-400028.",24325136,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065039,MULUND,"NEELKANTHDHARA, NETAJI SUBHASHCHANDRA ROAD, MULUND (W), MUMBAI-400080.",25641442,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065040,CHARAI,"MUMBA DEVI APT., JOSHIWADA, CHARAI, VEER SAVARKAR PATH, THANE WEST 400601",25447077,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065041,LOKMANYA NAGAR,"PANCHPAKHADI SAMARTHA CHS LTD., LOKMANYA NAGAR, THANE (W)-400608",25806049,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065042,KHARGHAR,"SHOP NO 66/67, PATEL HERITAGE, PLOT NO 15/17, SECTOR 7, KHARGHAR, NAVI MUMBAI 410210",27741002,RAIGAD,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065043,VASAI,"OM SHIVSHAKTI COMPLEX, VAJRESHWARI ROAD, VALIV VILLAGE, VASAI ROAD (EAST), VASAI 401208",2452512,THANE,VASAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065044,GHANSOLI,"SHREE MANOSHI COMPLEX, PLOT NO.5& 6, SECTOR-3, GHANSOLI, NAVI MUMBAI GHANSOLI- 410 701.",27549124,THANE,NAVI MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065045,KAMOTHE,"DHARTI COMPLEX, SHOP NO.7,8,9310 & 11, PLOT NO. 60/61, SECTOR 18, KAMOTHE II, PANVEL-",65298847,RAIGAD,NAVI MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065046,BHAYANDAR,"SHOP NO. 7,8,9,&107 TO 111 ON GR. FLOOR & 1ST FLOOR. MALHAR ARCADE, CODDEV VILLAGE, NAVGHAR PHATAK ROAD, BHAYANDAR (E), DIST. THANE, 401101",28140964,THANE,THANE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065047,DAHISAR EAST,"GR. FLOOR, MADHURAM HALL, HARISHANKAR JOSHI ROAD, DAHISAR (E), MUMBAI - 400 068",28480321,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065048,KALYAN-WEST,"FLOWER VALLEY, KHADAKPADA, KALYAN (W), DIST. THANE 421 301",2203321,THANE,THANE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065049,DOMBIVLI EAST,"FIRST FLOOR, JAIKUL ARCADE, MANPADA ROAD, DOMBIVLI (E) 421201",2489860,THANE,THANE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065050,OLD PANVEL,"SHOP NO 1 & 2, KANAK VITHAL, PLOT NO.25, OLD PANVEL, DIST RAIGAD 410 206",27459656,RAIGAD,RAIGAD,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065051,KANDIVALI (WEST),"KANDIVLI (W) BRANCH, SHOP NO.7, VIJAYBHARTI CO-OP. HSG. SOCIETY, SECTOR - II CHARKOP, KANDIVALI (W), MUMBAI 400067",28678031,MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065052,MIRA ROAD (EAST),"SHOP NO. 6,7 & 8, GROUND FLOOR, BUILDING NO. A-63, SECTOR - 1, SHANTI NAGAR, MIRA ROAD (E), DIST THANE 401107.",28555244,THANE,BHAYANDAR,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065053,BADLAPUR (EAST),"KULGAON GRIHNIRMAN SOCIETY, PLOT NO. 36, GANDHI CHOWK, NEAR KATDHARE HALL, KULGAON, BADLAPUR (E), DIST. THANE 421503",2693726,THANE,KALYAN,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065054,CHEMBUR,"SHOP NO.12 TO 19, BLDG. NO. 2, TILAKNAGAR SHRAMIK CO-OP HSG SOCIETY LTD., TILAKNAGAR, CHEMBUR, MUMBAI 400089.",25262390,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065055,VIRAR,"GRND & 1ST FLOOR, MATAJI KRUPA, OPP. MAHANAGARPALIKA LIBRARY, PHOOL PADA ROAD,VIRAR (E), DIST THANE 401303",2524161,THANE,THANE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065056,SEAWOOD,"SHOP NO. 13 TO 15, GIRIRAJ CO-OP HSG SOCIETY LTD., PLOT NO.7&8, SECTOR NO.44, NRI SEAWOOD ROAD, SEAWOOD, NERUL 400706",27719879,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065057,GHODBUNDER ROAD,"SIDDHIVINAYAK ARCADE, KAILASH TOWER, OWALE VILLAGE, OWALA NAKA, GHODBUNDER ROAD, THANE 400605.",25971586,THANE,THANE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065058,ANTOP HILL,"SHOP NO..34 & 35, GROUND FLOOR, BLDG NO. B-2, KALPAK ESTATE, SHAIKH MISTRY ROAD, ANTOP HILL, MUMBAI 400037",24092210,GREATER MUMBAI,MUMBAI,MUMBAI
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065059,NALLASOPARA,"SHOP NO. 1 & 2, GROUND FLOOR, OLIVE APARTMENT, BLDG.NO.06, SECTOR VII, NALLASOPARA, TAL VASAI, DIST THANE.",3290277,THANE,THANE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065060,DIVALE CBD,"SHOP NO 8A & 9, GROUND FLOOR, SAI SANGAM, SECTOR-15, SAKAL BHAVAN MARG, CBD BELAPUR, NAVI MUMBAI 400 614",27563509,GREATER MUMBAI,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065061,KHANDA COLONY,"SHOP NO.30 TO 33, GROUND FLOOR, SHREEJI SANGH, SECTOR - 7, PLOT NO. 15/16 KHANDA COLONY, PANVEL 410206",27490760,RAIGAD,PANVEL,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065062,KALWA,"MILESTONE CORPORATE PARK, DATTAWADI, OLD MUMBAI ROAD, KALWA (W) DIST. THANE 400 605",25406301,THANE,THANE,MAHARASHTRA
